"","Zone","Species","Abundance"
"197","High","Nodilittorina",0
"198","High","Nodilittorina",8
"199","High","Nodilittorina",0
"200","High","Nodilittorina",4
"201","High","Nodilittorina",4
"202","High","Nodilittorina",0
"203","High","Nodilittorina",19
"204","High","Nodilittorina",0
"205","High","Nodilittorina",2
"206","High","Nodilittorina",1
"207","High","Nodilittorina",6
"208","High","Nodilittorina",41
"209","High","Nodilittorina",0
"210","High","Nodilittorina",0
"211","Mid","Austrolittorina",81
"212","Mid","Austrolittorina",55
"213","Mid","Austrolittorina",48
"214","Mid","Austrolittorina",46
"215","Mid","Austrolittorina",38
"216","Mid","Austrolittorina",69
"217","Mid","Austrolittorina",35
"218","Mid","Austrolittorina",62
"219","Mid","Austrolittorina",54
"220","Mid","Austrolittorina",0
"221","Mid","Austrolittorina",44
"222","Mid","Austrolittorina",60
"223","Mid","Austrolittorina",54
"224","Mid","Austrolittorina",1
"225","Mid","Austrolittorina",6
"226","Mid","Austrolittorina",41
"227","Mid","Austrolittorina",35
"228","Mid","Austrolittorina",110
"229","Mid","Austrolittorina",37
"230","Mid","Austrolittorina",44
"231","Mid","Austrolittorina",41
"232","Mid","Austrolittorina",34
"233","Mid","Austrolittorina",29
"234","Mid","Austrolittorina",8
"235","Mid","Austrolittorina",34
"236","Mid","Austrolittorina",23
"237","Mid","Austrolittorina",43
"238","Mid","Austrolittorina",23
"239","Mid","Austrolittorina",36
"240","Mid","Austrolittorina",67
"241","Mid","Austrolittorina",28
"242","Mid","Austrolittorina",7
"243","Mid","Austrolittorina",17
"244","Mid","Austrolittorina",15
"245","Mid","Austrolittorina",26
"246","Mid","Austrolittorina",51
"247","Mid","Austrolittorina",25
"248","Mid","Austrolittorina",1
"249","Mid","Austrolittorina",6
"250","Mid","Austrolittorina",47
"251","Mid","Austrolittorina",46
"252","Mid","Austrolittorina",46
"253","Mid","Austrolittorina",110
"254","Mid","Austrolittorina",20
"255","Mid","Austrolittorina",32
"256","Mid","Austrolittorina",66
"257","Mid","Austrolittorina",24
"258","Mid","Austrolittorina",59
"259","Mid","Austrolittorina",59
"260","Mid","Austrolittorina",5
"261","Mid","Austrolittorina",6
"262","Mid","Austrolittorina",145
"263","Mid","Austrolittorina",13
"264","Mid","Austrolittorina",55
"265","Mid","Austrolittorina",24
"266","Mid","Austrolittorina",44
"267","Mid","Austrolittorina",1
"268","Mid","Austrolittorina",41
"269","Mid","Austrolittorina",35
"270","Mid","Austrolittorina",3
"271","Mid","Austrolittorina",23
"272","Mid","Austrolittorina",32
"273","Mid","Austrolittorina",54
"274","Mid","Austrolittorina",18
"275","Mid","Austrolittorina",55
"276","Mid","Austrolittorina",30
"277","Mid","Austrolittorina",0
"278","Mid","Austrolittorina",46
"279","Mid","Austrolittorina",26
"280","Mid","Austrolittorina",39
"281","Mid","Nerita",0
"282","Mid","Nerita",0
"283","Mid","Nerita",11
"284","Mid","Nerita",2
"285","Mid","Nerita",0
"286","Mid","Nerita",7
"287","Mid","Nerita",1
"288","Mid","Nerita",5
"289","Mid","Nerita",0
"290","Mid","Nerita",11
"291","Mid","Nerita",14
"292","Mid","Nerita",0
"293","Mid","Nerita",1
"294","Mid","Nerita",6
"295","Mid","Nerita",1
"296","Mid","Nerita",0
"297","Mid","Nerita",0
"298","Mid","Nerita",6
"299","Mid","Nerita",0
"300","Mid","Nerita",5
"301","Mid","Nerita",0
"302","Mid","Nerita",1
"303","Mid","Nerita",0
"304","Mid","Nerita",4
"305","Mid","Nerita",7
"306","Mid","Nerita",0
"307","Mid","Nerita",1
"308","Mid","Nerita",8
"309","Mid","Nerita",3
"310","Mid","Nerita",0
"311","Mid","Nerita",5
"312","Mid","Nerita",0
"313","Mid","Nerita",0
"314","Mid","Nerita",0
"315","Mid","Nerita",3
"316","Mid","Nerita",3
"317","Mid","Nerita",20
"318","Mid","Nerita",1
"319","Mid","Nerita",19
"320","Mid","Nerita",4
"321","Mid","Nerita",7
"322","Mid","Nerita",0
"323","Mid","Nerita",4
"324","Mid","Nerita",14
"325","Mid","Nerita",7
"326","Mid","Nerita",4
"327","Mid","Nerita",0
"328","Mid","Nerita",3
"329","Mid","Nerita",6
"330","Mid","Nerita",7
"331","Mid","Nerita",4
"332","Mid","Nerita",0
"333","Mid","Nerita",7
"334","Mid","Nerita",1
"335","Mid","Nerita",3
"336","Mid","Nerita",0
"337","Mid","Nerita",12
"338","Mid","Nerita",1
"339","Mid","Nerita",0
"340","Mid","Nerita",0
"341","Mid","Nerita",0
"342","Mid","Nerita",17
"343","Mid","Nerita",0
"344","Mid","Nerita",1
"345","Mid","Nerita",1
"346","Mid","Nerita",0
"347","Mid","Nerita",4
"348","Mid","Nerita",2
"349","Mid","Nerita",1
"350","Mid","Nerita",5
"351","Mid","Nodilittorina",0
"352","Mid","Nodilittorina",0
"353","Mid","Nodilittorina",0
"354","Mid","Nodilittorina",0
"355","Mid","Nodilittorina",0
"356","Mid","Nodilittorina",0
"357","Mid","Nodilittorina",0
"358","Mid","Nodilittorina",0
"359","Mid","Nodilittorina",3
"360","Mid","Nodilittorina",0
"361","Mid","Nodilittorina",0
"362","Mid","Nodilittorina",6
"363","Mid","Nodilittorina",0
"364","Mid","Nodilittorina",0
"365","Mid","Nodilittorina",0
"366","Mid","Nodilittorina",0
"367","Mid","Nodilittorina",1
"368","Mid","Nodilittorina",0
"369","Mid","Nodilittorina",10
"370","Mid","Nodilittorina",0
"371","Mid","Nodilittorina",1
"372","Mid","Nodilittorina",0
"373","Mid","Nodilittorina",0
"374","Mid","Nodilittorina",0
"375","Mid","Nodilittorina",1
"376","Mid","Nodilittorina",0
"377","Mid","Nodilittorina",0
"378","Mid","Nodilittorina",0
"379","Mid","Nodilittorina",0
"380","Mid","Nodilittorina",0
"381","Mid","Nodilittorina",0
"382","Mid","Nodilittorina",4
"383","Mid","Nodilittorina",0
"384","Mid","Nodilittorina",2
"385","Mid","Nodilittorina",0
"386","Mid","Nodilittorina",0
"387","Mid","Nodilittorina",0
"388","Mid","Nodilittorina",0
"389","Mid","Nodilittorina",0
"390","Mid","Nodilittorina",0
"391","Mid","Nodilittorina",0
"392","Mid","Nodilittorina",0
"393","Mid","Nodilittorina",10
"394","Mid","Nodilittorina",0
"395","Mid","Nodilittorina",0
"396","Mid","Nodilittorina",11
"397","Mid","Nodilittorina",2
"398","Mid","Nodilittorina",1
"399","Mid","Nodilittorina",3
"400","Mid","Nodilittorina",0
"401","Mid","Nodilittorina",0
"402","Mid","Nodilittorina",0
"403","Mid","Nodilittorina",2
"404","Mid","Nodilittorina",0
"405","Mid","Nodilittorina",0
"406","Mid","Nodilittorina",0
"407","Mid","Nodilittorina",1
"408","Mid","Nodilittorina",1
"409","Mid","Nodilittorina",0
"410","Mid","Nodilittorina",2
"411","Mid","Nodilittorina",1
"412","Mid","Nodilittorina",0
"413","Mid","Nodilittorina",1
"414","Mid","Nodilittorina",0
"415","Mid","Nodilittorina",0
"416","Mid","Nodilittorina",1
"417","Mid","Nodilittorina",0
"418","Mid","Nodilittorina",2
"419","Mid","Nodilittorina",0
"420","Mid","Nodilittorina",0
